episode_id,season,episode_num,dominant_character,dominant_score,top3_characters,power_shift
S07E08,7,8,Harvey Specter,0.454545,Harvey Specter | Robert Zane | Rachel Zane,False
S07E09,7,9,Harvey Specter,0.482443,Harvey Specter | Louis Litt | Mike Ross,False
S07E10,7,10,Harvey Specter,0.477049,Harvey Specter | Louis Litt | Donna Paulsen,False
S07E11,7,11,Harvey Specter,0.484783,Harvey Specter | Jessica Pearson | Donna Paulsen,False
S07E12,7,12,Harvey Specter,0.472881,Harvey Specter | Louis Litt | Oliver Grady,False
S07E13,7,13,Harvey Specter,0.484127,Harvey Specter | Donna Paulsen | Louis Litt,False
S07E14,7,14,Louis Litt,0.480124,Louis Litt | Harvey Specter | Donna Paulsen,True
S07E15,7,15,Harvey Specter,0.492763,Harvey Specter | Jessica Pearson | Mike Ross,True
S07E16,7,16,Harvey Specter,0.482979,Harvey Specter | Jessica Pearson | Mike Ross,False
S08E01,8,1,Louis Litt,0.452232,Louis Litt | Harvey Specter | Katrina Bennett,True
S08E02,8,2,Harvey Specter,0.469613,Harvey Specter | Louis Litt | Robert Zane,True
S08E03,8,3,Louis Litt,0.448128,Louis Litt | Robert Zane | Katrina Bennett,True
S08E04,8,4,Harvey Specter,0.461538,Harvey Specter | Robert Zane | Louis Litt,True
S08E05,8,5,Harvey Specter,0.480769,Harvey Specter | Louis Litt | Sheila Sazs,False
S08E06,8,6,Louis Litt,0.489449,Louis Litt | Harvey Specter | Donna Paulsen,True
S08E07,8,7,Louis Litt,0.467105,Louis Litt | Sheila Sazs | Harvey Specter | Robert Zane,False
S08E08,8,8,Louis Litt,0.476087,Louis Litt | Samantha Wheeler | Alex Williams,False
S08E09,8,9,Alex Williams,0.466892,Alex Williams | Robert Zane | Harvey Specter,True
S08E10,8,10,Samantha Wheeler,0.472059,Samantha Wheeler | Alex Williams | Louis Litt,True
S08E11,8,11,Louis Litt,0.47033,Louis Litt | Harvey Specter | Alex Williams,True
S08E12,8,12,Louis Litt,0.481356,Louis Litt | Harvey Specter | Donna Paulsen,False
S08E13,8,13,Stu Buzzini,0.457225,Stu Buzzini | Harvey Specter | Samantha Wheeler,True
S08E14,8,14,Harvey Specter,0.47651,Harvey Specter | Louis Litt | Samantha Wheeler,True
S08E15,8,15,Thomas Kessler,0.479141,Thomas Kessler | Louis Litt | Donna Paulsen,True
S08E16,8,16,Harvey Specter,0.457198,Harvey Specter | Robert Zane | Thomas Kessler,True
S09E01,9,1,Robert Zane,0.462365,Robert Zane | Louis Litt | Harvey Specter,True
S09E02,9,2,Louis Litt,0.460989,Louis Litt | Harvey Specter | Faye Richardson,True
S09E03,9,3,Louis Litt,0.489011,Louis Litt | Faye Richardson | Donna Paulsen,False
S09E04,9,4,Harvey Specter,0.45122,Harvey Specter | Donna Paulsen | Louis Litt,True
S09E05,9,5,Harvey Specter,0.463461,Harvey Specter | Mike Ross | Donna Paulsen,False
S09E06,9,6,Faye Richardson,0.464615,Faye Richardson | Samantha Wheeler | Harvey Specter,True
S09E07,9,7,Harvey Specter,0.508808,Harvey Specter | Louis Litt | Harold Gunderson,True
S09E08,9,8,Harvey Specter,0.470588,Harvey Specter | Sean Cahill | Louis Litt,False
S09E09,9,9,Harvey Specter,0.457407,Harvey Specter | Samantha Wheeler | Faye Richardson,False
S09E10,9,10,Harvey Specter,0.473101,Harvey Specter | Louis Litt | Faye Richardson,False
