episode_id,season,episode_num,topic_00,topic_01,topic_02,topic_03,topic_04,topic_05,topic_06,topic_07,topic_08,topic_09,dominant_topic,dominant_topic_label,topic_00_smooth,topic_01_smooth,topic_02_smooth,topic_03_smooth,topic_04_smooth,topic_05_smooth,topic_06_smooth,topic_07_smooth,topic_08_smooth,topic_09_smooth
S05E08,5,8,0.0001,0.0001,0.0001,0.0116,0.7668,0.2211,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0039,0.7383,0.2574,0.0001,0.0001,0.0001,0.0001
S05E09,5,9,0.0001,0.0001,0.0001,0.0001,0.7695,0.2301,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0039,0.6944,0.2469,0.0001,0.0001,0.0001,0.0545
S05E10,5,10,0.0001,0.0001,0.0001,0.0001,0.5469,0.2894,0.0001,0.0001,0.0001,0.1633,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5955,0.3041,0.0001,0.0001,0.0001,0.1
S05E11,5,11,0.0001,0.0001,0.0001,0.0001,0.4701,0.3927,0.0001,0.0001,0.0001,0.1367,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.554,0.3455,0.0001,0.0001,0.0001,0.1
S05E12,5,12,0.0001,0.0001,0.0001,0.0001,0.6451,0.3545,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0566,0.5506,0.3468,0.0001,0.0001,0.0001,0.0456
S05E13,5,13,0.0001,0.0001,0.0001,0.1697,0.5367,0.2933,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.1086,0.5293,0.3617,0.0001,0.0001,0.0001,0.0001
S05E14,5,14,0.0001,0.0001,0.0001,0.1561,0.4062,0.4373,0.0001,0.0001,0.0001,0.0001,5,"Topic 5: gonna, samantha, faye",0.0001,0.0001,0.0001,0.161,0.4504,0.3883,0.0001,0.0001,0.0001,0.0001
S05E15,5,15,0.0001,0.0001,0.0001,0.1573,0.4082,0.4342,0.0001,0.0001,0.0001,0.0001,5,"Topic 5: gonna, samantha, faye",0.0001,0.0001,0.0001,0.1045,0.4009,0.4128,0.0001,0.0001,0.0001,0.0816
S05E16,5,16,0.0001,0.0001,0.0001,0.0001,0.3883,0.3668,0.0001,0.0001,0.0001,0.2445,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0525,0.4236,0.3948,0.0001,0.0001,0.0001,0.1289
S06E01,6,1,0.0001,0.0001,0.0001,0.0001,0.4743,0.3833,0.0001,0.0001,0.0001,0.142,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.4442,0.3655,0.0001,0.0001,0.0001,0.1899
S06E02,6,2,0.0001,0.0001,0.0001,0.0001,0.4699,0.3465,0.0001,0.0001,0.0001,0.1833,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.4829,0.3577,0.0001,0.0001,0.0001,0.1591
S06E03,6,3,0.0001,0.0001,0.0001,0.0001,0.5045,0.3433,0.0001,0.0001,0.0001,0.1519,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5229,0.3477,0.0001,0.0001,0.0001,0.1291
S06E04,6,4,0.0001,0.0001,0.0001,0.0001,0.5942,0.3534,0.0001,0.0001,0.0001,0.052,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.5615,0.3702,0.0001,0.0001,0.0001,0.068
S06E05,6,5,0.0001,0.0001,0.0001,0.0001,0.5857,0.4139,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6123,0.37,0.0001,0.0001,0.0001,0.0174
S06E06,6,6,0.0001,0.0001,0.0001,0.0001,0.6569,0.3427,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6384,0.3611,0.0001,0.0001,0.0001,0.0001
S06E07,6,7,0.0001,0.0001,0.0001,0.0001,0.6727,0.3268,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6633,0.3363,0.0001,0.0001,0.0001,0.0001
S06E08,6,8,0.0001,0.0001,0.0001,0.0001,0.6603,0.3393,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6511,0.3484,0.0001,0.0001,0.0001,0.0001
S06E09,6,9,0.0001,0.0001,0.0001,0.0001,0.6204,0.3792,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.6527,0.3469,0.0001,0.0001,0.0001,0.0001
S06E10,6,10,0.0001,0.0001,0.0001,0.0001,0.6774,0.3222,0.0001,0.0001,0.0001,0.0001,4,"Topic 4: gonna, partner, business",0.0001,0.0001,0.0001,0.0001,0.4795,0.3379,0.0001,0.0001,0.0001,0.1823
S06E11,6,11,0.0001,0.0001,0.0001,0.0001,0.1408,0.3122,0.0001,0.0001,0.0001,0.5466,9,"Topic 9: gonna, oliver, nathan",0.0001,0.0001,0.0001,0.0001,0.3253,0.3221,0.0001,0.0001,0.0001,0.3523
S06E12,6,12,0.0001,0.0001,0.0001,0.0001,0.1577,0.3318,0.0001,0.0001,0.0001,0.5101,9,"Topic 9: gonna, oliver, nathan",0.0001,0.0001,0.0001,0.0001,0.1498,0.3362,0.0001,0.0001,0.0001,0.5136
S06E13,6,13,0.0001,0.0001,0.0001,0.0001,0.151,0.3645,0.0001,0.0001,0.0001,0.4841,9,"Topic 9: gonna, oliver, nathan",0.0001,0.0001,0.0001,0.0001,0.1887,0.348,0.0001,0.0001,0.0001,0.4629
