episode_id,season,episode_num,character,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree
S02E15,2,15,Louis Litt,1.0,0.0,0.244926,0.075085,64.885
S02E15,2,15,Sheila Sazs,1.0,0.0,0.221513,0.068875,58.507
S02E15,2,15,Donna Paulsen,1.0,0.218182,0.114594,0.041522,30.253
S02E15,2,15,Harold Gunderson,1.0,0.218182,0.114594,0.041522,30.253
S02E15,2,15,Norma,1.0,0.218182,0.114594,0.041522,30.253
S02E16,2,16,Harvey Specter,1.0,0.0,0.491957,0.155355,145.522
S02E16,2,16,Louis Litt,1.0,0.0,0.364384,0.105112,95.653
S02E16,2,16,Dana Scott,1.0,0.0,0.340028,0.097776,88.273
S02E16,2,16,Jessica Pearson,1.0,0.0,0.326204,0.093766,84.23
S02E16,2,16,Mike Ross,1.0,0.0,0.294299,0.084855,75.221
S02E16,2,16,Rachel Zane,1.0,0.0,0.294299,0.084855,75.221
S02E16,2,16,Daniel Hardman,1.0,0.0,0.230415,0.068056,58.153
S02E16,2,16,Donna Paulsen,1.0,0.0,0.230415,0.068056,58.153
S02E16,2,16,Sheila Sazs,1.0,0.0,0.230415,0.068056,58.153
S02E16,2,16,Zoe Lawford,1.0,0.0,0.166902,0.0522,41.949
S02E16,2,16,Harold Gunderson,1.0,0.188131,0.119475,0.040638,30.077
S02E16,2,16,Robert Zane,1.0,0.188131,0.119475,0.040638,30.077
S02E16,2,16,Trevor Evans,1.0,0.188131,0.119475,0.040638,30.077
S03E01,3,1,Harvey Specter,1.0,0.0,0.525893,0.188996,118.004
S03E01,3,1,Jessica Pearson,1.0,0.0,0.428402,0.139253,85.165
S03E01,3,1,Mike Ross,1.0,0.0,0.324357,0.104044,61.425
S03E01,3,1,Donna Paulsen,1.0,0.0,0.304418,0.09805,57.35
S03E01,3,1,Louis Litt,1.0,0.0,0.304418,0.09805,57.35
S03E01,3,1,Dana Scott,1.0,0.0,0.281762,0.091419,52.83
S03E01,3,1,Benjamin,1.0,0.0,0.224501,0.075297,41.795
S03E01,3,1,Rachel Zane,1.0,0.0,0.224501,0.075297,41.795
S03E01,3,1,Daniel Hardman,1.0,0.125,0.185967,0.064797,34.575
S03E01,3,1,Norma,1.0,0.125,0.185967,0.064797,34.575
S03E02,3,2,Harvey Specter,1.0,0.0,0.513015,0.195027,149.245
S03E02,3,2,Louis Litt,1.0,0.0,0.459366,0.166521,126.156
S03E02,3,2,Mike Ross,1.0,0.0,0.449538,0.162109,122.549
S03E02,3,2,Jessica Pearson,1.0,0.0,0.373375,0.132123,97.831
S03E02,3,2,Donna Paulsen,1.0,0.0,0.304758,0.108819,78.398
S03E02,3,2,Rachel Zane,1.0,0.0,0.235594,0.087111,60.143
S03E02,3,2,Esther Litt,1.0,0.178571,0.109427,0.04943,28.133
S03E02,3,2,Jack Soloff,1.0,0.178571,0.109427,0.04943,28.133
S03E02,3,2,Katrina Bennett,1.0,0.178571,0.109427,0.04943,28.133
S03E03,3,3,Harvey Specter,1.0,0.0,0.547956,0.212692,120.062
S03E03,3,3,Mike Ross,1.0,0.0,0.389617,0.131375,71.474
S03E03,3,3,Katrina Bennett,1.0,0.0,0.345408,0.116444,62.334
S03E03,3,3,Louis Litt,1.0,0.0,0.345408,0.116444,62.334
S03E03,3,3,Donna Paulsen,1.0,0.0,0.307232,0.104382,54.911
S03E03,3,3,Jessica Pearson,1.0,0.0,0.284313,0.097409,50.604
S03E03,3,3,Rachel Zane,1.0,0.0,0.284313,0.097409,50.604
S03E03,3,3,Harold Gunderson,1.0,0.0,0.187538,0.069352,33.167
S03E03,3,3,Norma,1.0,0.785714,0.134536,0.054494,23.867
S03E04,3,4,Harvey Specter,1.0,0.0,0.532341,0.209244,83.855
S03E04,3,4,Louis Litt,1.0,0.0,0.532341,0.209244,83.855
S03E04,3,4,Jessica Pearson,1.0,0.0,0.354722,0.12934,49.445
S03E04,3,4,Mike Ross,1.0,0.0,0.354722,0.12934,49.445
S03E04,3,4,Katrina Bennett,1.0,0.0,0.309343,0.114022,42.704
S03E04,3,4,Rachel Zane,1.0,0.0,0.205462,0.081277,28.171
S03E04,3,4,Donna Paulsen,1.0,0.285714,0.147755,0.063766,20.334
S03E04,3,4,Jenny Griffith,1.0,0.285714,0.147755,0.063766,20.334
S03E05,3,5,Harvey Specter,1.0,0.0,0.485309,0.174692,64.691
S03E05,3,5,Mike Ross,1.0,0.0,0.469253,0.166593,61.479
S03E05,3,5,Donna Paulsen,1.0,0.0,0.438078,0.15262,55.905
S03E05,3,5,Rachel Zane,1.0,0.0,0.330522,0.113507,40.107
S03E05,3,5,Jessica Pearson,1.0,0.0,0.266603,0.093529,31.94
S03E05,3,5,Louis Litt,1.0,0.0,0.266603,0.093529,31.94
S03E05,3,5,Robert Zane,1.0,0.0,0.222274,0.080371,26.528
S03E05,3,5,Daniel Hardman,1.0,0.25,0.16056,0.06258,19.173
S03E05,3,5,Katrina Bennett,1.0,0.25,0.16056,0.06258,19.173
S03E06,3,6,Harvey Specter,1.0,0.0,0.550065,0.213654,64.179
S03E06,3,6,Donna Paulsen,1.0,0.0,0.448724,0.154624,45.534
S03E06,3,6,Trevor Evans,1.0,0.0,0.366283,0.124065,35.648
S03E06,3,6,Mike Ross,1.0,0.0,0.335596,0.11398,32.356
S03E06,3,6,Jessica Pearson,1.0,0.0,0.297893,0.102169,28.486
S03E06,3,6,Rachel Zane,1.0,0.0,0.249459,0.087661,23.708
S03E06,3,6,Daniel Hardman,1.0,0.107143,0.181032,0.067949,17.178
S03E06,3,6,Esther Litt,1.0,0.107143,0.181032,0.067949,17.178
S03E06,3,6,Louis Litt,1.0,0.107143,0.181032,0.067949,17.178
S03E07,3,7,Harvey Specter,1.0,0.0,0.458298,0.155816,108.322
S03E07,3,7,Louis Litt,1.0,0.0,0.446902,0.150683,104.483
S03E07,3,7,Rachel Zane,1.0,0.0,0.372179,0.122007,82.856
S03E07,3,7,Jessica Pearson,1.0,0.0,0.347606,0.113768,76.591
S03E07,3,7,Donna Paulsen,1.0,0.0,0.333625,0.109252,73.148
S03E07,3,7,Harold Gunderson,1.0,0.0,0.301276,0.099182,65.448
S03E07,3,7,Mike Ross,1.0,0.0,0.23623,0.080088,50.765
S03E07,3,7,Norma,1.0,0.0,0.207154,0.071887,44.428
