episode_id,season,episode_num,character,influence_score,influence_rank,rank_change,influence_smooth
S02E05,2,5,Jessica Pearson,0.158257,3,-2,0.158091
S02E05,2,5,Louis Litt,0.148475,4,3,0.335142
S02E05,2,5,Daniel Hardman,0.04845,5,2,0.176391
S02E05,2,5,Mike Ross,0.045189,6,0,0.16772
S02E05,2,5,Harold Gunderson,0.003261,7,1,0.101305
S02E05,2,5,Norma,0.003261,7,-3,0.03641
S02E05,2,5,Rachel Zane,0.003261,7,-1,0.137973
S02E06,2,6,Louis Litt,0.473913,1,-2,0.278386
S02E06,2,6,Harvey Specter,0.425287,2,1,0.507342
S02E06,2,6,Daniel Hardman,0.287769,3,-2,0.169483
S02E06,2,6,Donna Paulsen,0.255265,4,2,0.272727
S02E06,2,6,Jessica Pearson,0.224025,5,1,0.190484
S02E06,2,6,Harold Gunderson,0.215329,6,-2,0.09059
S02E06,2,6,Mike Ross,0.215329,6,0,0.113115
S02E06,2,6,Rachel Zane,0.134633,8,1,0.048863
S02E06,2,6,Thomas Kessler,0.004348,9,-1,0.003285
S02E06,2,6,Zoe Lawford,0.004348,9,1,0.004348
S02E07,2,7,Harvey Specter,0.536957,1,-2,0.449623
S02E07,2,7,Donna Paulsen,0.234612,2,-4,0.2194
S02E07,2,7,Louis Litt,0.212769,3,1,0.364294
S02E07,2,7,Jessica Pearson,0.189171,4,3,0.292494
S02E07,2,7,Daniel Hardman,0.172229,5,1,0.251234
S02E07,2,7,Mike Ross,0.078828,6,1,0.172251
S02E07,2,7,Rachel Zane,0.008696,7,-2,0.082532
S02E07,2,7,Zoe Lawford,0.004348,8,1,0.048544
S02E08,2,8,Jessica Pearson,0.464286,1,-2,0.319345
S02E08,2,8,Louis Litt,0.4062,2,1,0.367958
S02E08,2,8,Harvey Specter,0.386624,3,1,0.452948
S02E08,2,8,Daniel Hardman,0.293704,4,0,0.249246
S02E08,2,8,Mike Ross,0.222597,5,-2,0.1417
S02E08,2,8,Donna Paulsen,0.168324,6,0,0.201112
S02E08,2,8,Jenny Griffith,0.136936,7,0,0.047991
S02E08,2,8,Zoe Lawford,0.136936,7,0,0.087395
S02E08,2,8,Rachel Zane,0.104268,9,4,0.111625
S02E08,2,8,Norma,0.101207,10,1,0.036709
S02E08,2,8,Trevor Evans,0.101207,10,-1,0.071635
S02E08,2,8,Dana Scott,0.003061,12,6,0.164772
S02E08,2,8,Robert Zane,0.003061,12,8,0.101117
S02E09,2,9,Louis Litt,0.484906,1,-2,0.358075
S02E09,2,9,Harvey Specter,0.435262,2,1,0.435867
S02E09,2,9,Jessica Pearson,0.304577,3,-3,0.264691
S02E09,2,9,Daniel Hardman,0.281804,4,2,0.312255
S02E09,2,9,Rachel Zane,0.22191,5,0,0.136132
S02E09,2,9,Donna Paulsen,0.200401,6,-1,0.129631
S02E09,2,9,Mike Ross,0.123676,7,3,0.170336
S02E09,2,9,Harold Gunderson,0.053179,8,3,0.166778
S02E09,2,9,Norma,0.00566,9,-2,0.036721
S02E09,2,9,Esther Litt,0.00283,10,2,0.00312
S02E10,2,10,Harvey Specter,0.485714,1,0,0.473292
S02E10,2,10,Daniel Hardman,0.361258,2,-1,0.295699
S02E10,2,10,Louis Litt,0.183118,3,-1,0.296283
S02E10,2,10,Mike Ross,0.164734,4,2,0.20384
S02E10,2,10,Rachel Zane,0.082218,5,-2,0.141677
S02E10,2,10,Jessica Pearson,0.02521,6,0,0.151329
S02E10,2,10,Donna Paulsen,0.020168,7,-2,0.103352
S02E11,2,11,Harvey Specter,0.498901,1,0,0.490524
S02E11,2,11,Mike Ross,0.323109,2,-2,0.248326
S02E11,2,11,Daniel Hardman,0.244035,3,0,0.316137
S02E11,2,11,Louis Litt,0.220826,4,2,0.25976
S02E11,2,11,Katrina Bennett,0.176721,5,3,0.262716
S02E11,2,11,Jessica Pearson,0.124199,6,0,0.101351
S02E11,2,11,Rachel Zane,0.120902,7,-1,0.091122
S02E11,2,11,Zoe Lawford,0.120902,7,-1,0.109362
S02E11,2,11,Donna Paulsen,0.089488,9,2,0.075513
S02E11,2,11,Sheila Sazs,0.089488,9,0,0.112644
S02E11,2,11,Jack Soloff,0.003297,11,2,0.002501
S02E12,2,12,Harvey Specter,0.486956,1,0,0.485029
S02E12,2,12,Louis Litt,0.375337,2,-3,0.293821
S02E12,2,12,Daniel Hardman,0.343118,3,-4,0.268133
S02E12,2,12,Mike Ross,0.257136,4,-4,0.230797
S02E12,2,12,Harold Gunderson,0.231826,5,-5,0.095954
S02E12,2,12,Jessica Pearson,0.154644,6,-3,0.114641
S02E12,2,12,Donna Paulsen,0.116884,7,4,0.17212
S02E12,2,12,Rachel Zane,0.070247,8,2,0.15442
S02E12,2,12,Zoe Lawford,0.070247,8,-2,0.079135
S02E12,2,12,Thomas Kessler,0.002174,10,-2,0.002659
S02E13,2,13,Harvey Specter,0.469231,1,-1,0.445216
S02E13,2,13,Katrina Bennett,0.348712,2,-3,0.255958
S02E13,2,13,Donna Paulsen,0.309988,3,-3,0.193919
S02E13,2,13,Robert Zane,0.296802,4,-4,0.10206
S02E13,2,13,Louis Litt,0.285299,5,1,0.305316
S02E13,2,13,Rachel Zane,0.272112,6,-1,0.131275
S02E13,2,13,Daniel Hardman,0.217246,7,5,0.313275
S02E13,2,13,Mike Ross,0.112145,8,3,0.191005
S02E13,2,13,Benjamin,0.06508,9,1,0.041169
S02E13,2,13,Jessica Pearson,0.06508,9,8,0.234996
S02E13,2,13,Anita Gibbs,0.003297,11,1,0.043904
S02E13,2,13,Norma,0.003297,11,1,0.003938
S02E14,2,14,Jessica Pearson,0.485263,1,-1,0.30217
S02E14,2,14,Daniel Hardman,0.37946,2,-1,0.303299
S02E14,2,14,Harvey Specter,0.37946,2,1,0.441945
S02E14,2,14,Louis Litt,0.255313,4,-4,0.230101
S02E14,2,14,Mike Ross,0.203734,5,-2,0.163585
S02E14,2,14,Donna Paulsen,0.154884,6,-4,0.15591
S02E14,2,14,Rachel Zane,0.051466,7,3,0.201023
S02E14,2,14,Robert Zane,0.006316,8,-3,0.10302
