episode_id,season,episode_num,character,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree,mention_volume_share,sentiment_control_raw,pagerank_norm,sentiment_control_norm,influence_score,influence_rank
S01E07,1,7,Jenny Griffith,1.0,0.0,0.266553,0.088146,33.428,0.046875,0.225201062215478,0.237385309970446,0.0,0.109017,5
S01E07,1,7,Louis Litt,1.0,0.0,0.222248,0.075582,27.743,0.046875,0.225201062215478,0.13635522852101392,0.0,0.068605,6
S01E07,1,7,Donna Paulsen,1.0,0.0,0.222248,0.075582,27.743,0.03125,0.225201062215478,0.13635522852101392,0.0,0.063917,7
S01E07,1,7,Rachel Zane,1.0,0.0,0.222248,0.075582,27.743,0.03125,0.225201062215478,0.13635522852101392,0.0,0.063917,7
S01E07,1,7,Daniel Hardman,1.0,0.180556,0.160553,0.058625,20.031,0.015625,0.225201062215478,0.0,0.0,0.004688,9
S01E07,1,7,Jessica Pearson,1.0,0.180556,0.160553,0.058625,20.031,0.015625,0.225201062215478,0.0,0.0,0.004688,9
S01E08,1,8,Louis Litt,1.0,0.0,0.519518,0.191567,89.721,0.345238,0.1947565807327001,0.9999999925158665,0.0,0.503571,1
S01E08,1,8,Harvey Specter,1.0,0.0,0.506814,0.183708,85.84,0.321429,0.1947565807327001,0.9411821867053185,0.0,0.472902,2
S01E08,1,8,Mike Ross,1.0,0.0,0.328042,0.11185,49.591,0.083333,0.1947565807327001,0.40338731586496146,0.0,0.186355,3
S01E08,1,8,Jessica Pearson,1.0,0.0,0.304243,0.104362,45.747,0.059524,0.1947565807327001,0.34734612361284484,0.0,0.156796,4
S01E08,1,8,Robert Zane,1.0,0.0,0.304243,0.104362,45.747,0.059524,0.1947565807327001,0.34734612361284484,0.0,0.156796,4
S01E08,1,8,Donna Paulsen,1.0,0.0,0.243443,0.086061,36.309,0.047619,0.1947565807327001,0.21037899495285747,0.0,0.098437,6
S01E08,1,8,Norma,1.0,0.0,0.243443,0.086061,36.309,0.035714,0.1947565807327001,0.21037899495285747,0.0,0.094866,7
S01E08,1,8,Daniel Hardman,1.0,0.0,0.202105,0.074078,30.095,0.02381,0.1947565807327001,0.12069662225559351,0.0,0.055422,8
S01E08,1,8,Rachel Zane,1.0,0.642857,0.145348,0.057951,21.695,0.02381,0.1947565807327001,0.0,0.0,0.007143,9
S01E09,1,9,Mike Ross,1.0,0.0,0.46445,0.162805,139.092,0.253425,0.1880188144329897,0.9999999875901269,0.0,0.476027,1
S01E09,1,9,Louis Litt,1.0,0.0,0.451854,0.156922,133.653,0.260274,0.1880188144329897,0.9269927039005137,0.0,0.448879,2
S01E09,1,9,Rachel Zane,1.0,0.0,0.368525,0.124421,103.318,0.150685,0.1880188144329897,0.5236594169387396,0.0,0.254669,3
S01E09,1,9,Harvey Specter,1.0,0.0,0.368525,0.124421,103.318,0.109589,0.1880188144329897,0.5236594169387396,0.0,0.24234,4
S01E09,1,9,Daniel Hardman,1.0,0.0,0.301356,0.102536,82.649,0.061644,0.1880188144329897,0.2520693432438249,0.0,0.119321,5
S01E09,1,9,Benjamin,1.0,0.044643,0.233279,0.082224,63.311,0.047945,0.1880188144329897,0.0,0.0,0.014384,6
S01E09,1,9,Donna Paulsen,1.0,0.044643,0.233279,0.082224,63.311,0.041096,0.1880188144329897,0.0,0.0,0.012329,7
S01E09,1,9,Jessica Pearson,1.0,0.044643,0.233279,0.082224,63.311,0.041096,0.1880188144329897,0.0,0.0,0.012329,7
S01E09,1,9,Harold Gunderson,1.0,0.044643,0.233279,0.082224,63.311,0.034247,0.1880188144329897,0.0,0.0,0.010274,9
S01E10,1,10,Harvey Specter,1.0,0.0,0.457644,0.159149,74.108,0.243243,0.19122537537537537,0.9999999883651934,0.0,0.472973,1
S01E10,1,10,Mike Ross,1.0,0.0,0.440945,0.1516,70.288,0.22973,0.19122537537537537,0.9121688337017437,0.0,0.433787,2
S01E10,1,10,Rachel Zane,1.0,0.0,0.328082,0.110359,49.18,0.108108,0.19122537537537537,0.4323377766775904,0.0,0.205368,3
S01E10,1,10,Louis Litt,1.0,0.0,0.328082,0.110359,49.18,0.081081,0.19122537537537537,0.4323377766775904,0.0,0.197259,4
S01E10,1,10,Jenny Griffith,1.0,0.0,0.304698,0.102996,45.372,0.108108,0.19122537537537537,0.3466706960328719,0.0,0.171101,5
S01E10,1,10,Jessica Pearson,1.0,0.0,0.304698,0.102996,45.372,0.067568,0.19122537537537537,0.3466706960328719,0.0,0.158939,6
S01E10,1,10,Daniel Hardman,1.0,0.0,0.277346,0.09467,41.054,0.081081,0.19122537537537537,0.2497992966782709,0.0,0.124244,7
S01E10,1,10,Paula Agard,1.0,0.0,0.277346,0.09467,41.054,0.054054,0.19122537537537537,0.2497992966782709,0.0,0.116136,8
S01E10,1,10,Brian Altman,1.0,0.25,0.203298,0.0732,29.858,0.027027,0.19122537537537537,0.0,0.0,0.008108,9
S01E11,1,11,Harvey Specter,1.0,0.0,0.512616,0.181834,138.394,0.33913,0.1953755968169761,0.9999999925565886,0.0,0.501739,1
S01E11,1,11,Louis Litt,1.0,0.0,0.470221,0.158831,119.908,0.243478,0.1953755968169761,0.8287791999167886,0.0,0.404555,2
S01E11,1,11,Jessica Pearson,1.0,0.0,0.327151,0.106267,76.845,0.086957,0.1953755968169761,0.4375237226173735,0.0,0.201097,3
S01E11,1,11,Jenny Griffith,1.0,0.0,0.294852,0.096466,68.708,0.078261,0.1953755968169761,0.3645708473983725,0.0,0.169307,4
S01E11,1,11,Mike Ross,1.0,0.0,0.294852,0.096466,68.708,0.069565,0.1953755968169761,0.3645708473983725,0.0,0.166698,5
S01E11,1,11,Rachel Zane,1.0,0.0,0.294852,0.096466,68.708,0.069565,0.1953755968169761,0.3645708473983725,0.0,0.166698,5
S01E11,1,11,Donna Paulsen,1.0,0.0,0.230474,0.07792,53.23,0.052174,0.1953755968169761,0.22652533940820907,0.0,0.106262,7
S01E11,1,11,Kyle Durant,1.0,0.0,0.230474,0.07792,53.23,0.034783,0.1953755968169761,0.22652533940820907,0.0,0.101045,8
S01E11,1,11,Trevor Evans,1.0,0.0,0.166754,0.060344,38.468,0.017391,0.1953755968169761,0.0956999404847154,0.0,0.043497,9
S01E11,1,11,Daniel Hardman,1.0,0.819444,0.119298,0.047487,27.615,0.008696,0.1953755968169761,0.0,0.0,0.002609,10
S01E12,1,12,Harvey Specter,1.0,0.0,0.535096,0.202901,82.265,0.430769,0.15850132450331125,0.9999999929617613,0.0,0.529231,1
S01E12,1,12,Louis Litt,1.0,0.0,0.406863,0.137432,54.084,0.138462,0.15850132450331125,0.5392135434068345,0.0,0.257224,2
S01E12,1,12,Trevor Evans,1.0,0.0,0.350731,0.117927,45.508,0.107692,0.15850132450331125,0.4019326975321634,0.0,0.193081,3
S01E12,1,12,Mike Ross,1.0,0.0,0.326237,0.110039,42.02,0.092308,0.15850132450331125,0.34641507065395744,0.0,0.166258,4
S01E12,1,12,Donna Paulsen,1.0,0.0,0.29743,0.101103,38.056,0.061538,0.15850132450331125,0.2835213696164767,0.0,0.13187,5
S01E12,1,12,Jenny Griffith,1.0,0.0,0.29743,0.101103,38.056,0.061538,0.15850132450331125,0.2835213696164767,0.0,0.13187,5
S01E12,1,12,Rachel Zane,1.0,0.0,0.262654,0.090694,33.422,0.046154,0.15850132450331125,0.21026034297154195,0.0,0.09795,7
S01E12,1,12,Jessica Pearson,1.0,0.0,0.218763,0.07798,27.738,0.046154,0.15850132450331125,0.12077617611942355,0.0,0.062157,8
S01E12,1,12,Norma,1.0,0.660714,0.15786,0.06082,20.028,0.015385,0.15850132450331125,0.0,0.0,0.004616,9
S02E01,2,1,Harvey Specter,1.0,0.0,0.456886,0.15394,90.677,0.244186,0.23168064000000005,0.9999999902517012,0.0,0.473256,1
S02E01,2,1,Mike Ross,1.0,0.0,0.407821,0.13361,77.721,0.186047,0.23168064000000005,0.8018170751026782,0.0,0.376541,2
S02E01,2,1,Jessica Pearson,1.0,0.0,0.385302,0.125396,72.451,0.162791,0.23168064000000005,0.7217445485392706,0.0,0.337535,3
S02E01,2,1,Daniel Hardman,1.0,0.0,0.385302,0.125396,72.451,0.127907,0.23168064000000005,0.7217445485392706,0.0,0.32707,4
S02E01,2,1,Rachel Zane,1.0,0.0,0.305232,0.099375,55.633,0.093023,0.23168064000000005,0.46808406476687864,0.0,0.215141,5
S02E01,2,1,Jenny Griffith,1.0,0.0,0.282745,0.092658,51.263,0.069767,0.23168064000000005,0.4026047415472038,0.0,0.181972,6
S02E01,2,1,Louis Litt,1.0,0.0,0.225666,0.076309,40.581,0.046512,0.23168064000000005,0.2432298040277066,0.0,0.111246,7
S02E01,2,1,Trevor Evans,1.0,0.0,0.225666,0.076309,40.581,0.034884,0.23168064000000005,0.2432298040277066,0.0,0.107757,8
S02E01,2,1,Donna Paulsen,1.0,0.0,0.187097,0.06565,33.584,0.023256,0.23168064000000005,0.13932268683275148,0.0,0.062706,9
S02E01,2,1,Robert Zane,1.0,0.75,0.13437,0.051358,24.162,0.011628,0.23168064000000005,0.0,0.0,0.003488,10
S02E02,2,2,Harvey Specter,1.0,0.0,0.469103,0.167954,103.588,0.245098,0.19142480252764613,0.9999999913372662,0.0,0.473529,1
S02E02,2,2,Jessica Pearson,1.0,0.0,0.446102,0.157255,96.471,0.245098,0.19142480252764613,0.9073174033687865,0.0,0.436456,2
S02E02,2,2,Daniel Hardman,1.0,0.0,0.439391,0.154335,94.522,0.196078,0.19142480252764613,0.88202222093417,0.0,0.411632,3
S02E02,2,2,Louis Litt,1.0,0.0,0.322519,0.111556,65.663,0.088235,0.19142480252764613,0.5114391355333288,0.0,0.231046,4
S02E02,2,2,Mike Ross,1.0,0.0,0.322519,0.111556,65.663,0.088235,0.19142480252764613,0.5114391355333288,0.0,0.231046,4
S02E02,2,2,Rachel Zane,1.0,0.0,0.322519,0.111556,65.663,0.088235,0.19142480252764613,0.5114391355333288,0.0,0.231046,4
S02E02,2,2,Donna Paulsen,1.0,0.0,0.173689,0.066635,34.831,0.019608,0.19142480252764613,0.12230047452462837,0.0,0.054803,7
S02E02,2,2,Norma,1.0,0.0,0.173689,0.066635,34.831,0.019608,0.19142480252764613,0.12230047452462837,0.0,0.054803,7
S02E02,2,2,Jenny Griffith,1.0,0.75,0.124415,0.052517,25.044,0.009804,0.19142480252764613,0.0,0.0,0.002941,9
S02E03,2,3,Harvey Specter,1.0,0.0,0.44896,0.149685,74.617,0.253968,0.2062017543859649,0.999999989516721,0.0,0.47619,1
S02E03,2,3,Daniel Hardman,1.0,0.0,0.420328,0.13773,68.156,0.190476,0.2062017543859649,0.8746723883565111,0.0,0.407012,2
S02E03,2,3,Jessica Pearson,1.0,0.0,0.366002,0.118064,57.447,0.126984,0.2062017543859649,0.6685082223659898,0.0,0.305498,3
S02E03,2,3,Rachel Zane,1.0,0.0,0.348147,0.112171,54.22,0.111111,0.2062017543859649,0.6067302588664404,0.0,0.276025,4
S02E03,2,3,Mike Ross,1.0,0.0,0.32786,0.10572,50.679,0.111111,0.2062017543859649,0.5391026256515081,0.0,0.248974,5
S02E03,2,3,Louis Litt,1.0,0.0,0.277224,0.090482,42.278,0.063492,0.2062017543859649,0.3793584193378927,0.0,0.170791,6
S02E03,2,3,Harold Gunderson,1.0,0.0,0.244433,0.081094,37.078,0.047619,0.2062017543859649,0.2809413955242541,0.0,0.126662,7
S02E03,2,3,Sheila Sazs,1.0,0.0,0.244433,0.081094,37.078,0.047619,0.2062017543859649,0.2809413955242541,0.0,0.126662,7
S02E03,2,3,Donna Paulsen,1.0,0.0,0.203261,0.069665,30.724,0.031746,0.2062017543859649,0.16112799914951256,0.0,0.073975,9
S02E03,2,3,Norma,1.0,0.75,0.146429,0.054295,22.139,0.015873,0.2062017543859649,0.0,0.0,0.004762,10
S02E04,2,4,Harvey Specter,1.0,0.0,0.524679,0.197833,104.03,0.377778,0.21025573979591838,0.999999992960374,0.0,0.513333,1
S02E04,2,4,Louis Litt,1.0,0.0,0.472715,0.168134,87.541,0.222222,0.21025573979591838,0.7909301402228032,0.0,0.383039,2
